"Year","Month","WashingtonDC-MD-VAMarket","Richmond/PetersburgMarket","Staunton/HarrisonburgMarket","VirginiaPortionofWashingtonDC","Blacksburg/WythevilleMarket","theCommonwealthofVirginia","CharlottesvilleMarket","LynchburgMarket","RoanokeMarket","HamptonRoadsMarket"
"2005","Jan","71.18994237","33.18326323","22.75414478","65.50126158","17.89364372","38.22283833","34.47062731","21.10065994","22.26995237","23.14413531"
"2005","Feb","84.49292627","36.98410601","28.35519978","73.64020701","21.87621333","44.81038638","43.68276567","27.63320921","27.91506901","30.09824166"
"2005","Mar","98.92639091","42.75105408","30.62899518","87.10658564","28.81745087","52.7405608","51.40926641","27.52628293","33.46231323","37.09237092"
"2005","Apr","112.3854717","46.57262629","40.45332482","97.33326746","36.88449651","62.15661086","67.93225011","34.85866245","41.53930658","47.57801292"
"2005","May","106.8613756","46.32863127","43.46155811","94.51352425","34.75794391","61.86725156","71.80629593","37.44840238","38.1472913","51.26937935"
"2005","Jun","105.4540854","48.11230092","44.19653859","97.586773","33.93265204","69.12427612","68.69697555","35.12813323","40.36010441","70.93647068"
"2005","Jul","92.27479177","46.79728886","49.84458848","86.65279129","43.18835477","70.90692621","71.2363827","34.7853157","45.83248062","86.36676095"
"2005","Aug","83.88605002","48.03408178","45.76524972","81.09348488","43.10685734","66.77042928","66.23147341","37.84251898","40.85135965","77.94435736"
"2005","Sep","101.6075849","48.92236944","40.54317595","90.06766261","38.58245877","60.47519502","63.80440798","33.38998157","39.32268702","49.93807968"
"2005","Oct","109.1817548","44.47272777","50.28344065","95.98805271","42.38995169","61.47607201","78.28529912","41.12653519","47.32747947","42.35092905"
"2005","Nov","90.21546796","39.02223043","34.11957698","82.02176653","33.79535216","50.58025465","60.78098456","28.98098999","39.17098202","32.75074239"
"2005","Dec","63.30800999","30.11965828","24.35964156","56.31595175","21.87051226","37.01230019","35.70908581","24.89328849","27.26683252","27.22029157"
"2006","Jan","67.33438122","35.09941034","26.29887262","66.67123181","21.38734078","40.04198326","38.30736497","26.11849615","26.63765317","24.43718472"
"2006","Feb","84.60169632","40.8449257","31.42770601","76.45479478","26.59775953","47.23629033","49.67639961","32.48442789","31.32797808","31.52756586"
"2006","Mar","109.9875051","48.37527552","33.66835153","95.82433209","34.91944495","58.49746571","62.11757379","35.28288233","41.92941658","38.84514488"
"2006","Apr","114.6657489","46.61031917","44.1698121","100.3442016","38.67615541","64.29588283","77.59956027","39.10219853","39.26985026","50.6234626"
"2006","May","118.7288938","52.83092524","47.12664515","105.0611304","39.07737676","68.12705702","81.2716922","44.09169087","44.11703629","53.99339874"
"2006","Jun","117.7840974","52.41606496","49.0285343","104.9318594","38.67969358","74.0513368","79.45842986","42.53281991","43.9423112","73.45716435"
"2006","Jul","91.71829622","48.58997388","48.87251023","86.36861031","45.90086743","71.29071636","76.90180388","38.8554375","44.94979839","85.52100532"
"2006","Aug","80.69438757","48.50520362","46.23496768","81.07044159","47.24117671","67.48912126","68.80902562","43.47170412","42.33182334","78.52947826"
"2006","Sep","101.1794348","51.55643071","43.56100125","90.98850112","46.31172327","62.91482349","76.90916988","37.52743549","43.39791667","51.662727"
"2006","Oct","113.6229137","48.3748854","55.47045097","100.5513217","46.39452222","64.94826516","80.57178718","45.41372369","49.66564629","43.06666386"
"2006","Nov","92.53744828","42.10022715","37.61947434","81.22482903","38.5954717","51.86299124","61.48160405","32.4278436","40.76415952","34.13222502"
