Date,"Blacksburg-Christiansburg-Radford, VA MSA","Charlottesville, VA MSA","Harrisonburg, VA MSA","Lynchburg, VA MSA","Richmond, VA MSA","Roanoke, VA MSA",Virginia,"Virginia Beach-Norfolk-Newport News, VA-NC MSA","Washington-Arlington-Alexandria, DC-VA-MD-WV MSA, VA part","Winchester, VA-WV MSA","Staunton-Waynesboro, VA"
1/1/2005,70800,96800,60600,103300,593700,155400,3630300,738300,1240500,53900,49300
2/1/2005,74000,97300,60700,103500,596400,156000,3640700,741500,1243400,54000,49300
3/1/2005,73700,97800,60600,104400,600300,156900,3638300,749400,1250700,54200,49800
4/1/2005,75200,100100,60700,105000,608200,157900,3650500,759400,1265300,55100,50200
5/1/2005,74100,99800,60700,104500,610700,159000,3656600,764600,1274600,55700,50400
6/1/2005,72700,100300,60400,104700,614200,160200,3658300,774300,1290700,56100,50600
7/1/2005,72200,98100,60900,103500,605000,158900,3673800,770000,1289600,53600,50000
8/1/2005,73300,97300,61100,103800,601400,159600,3681300,773500,1289700,53700,50100
9/1/2005,75500,101600,61100,106400,608000,160900,3698400,771100,1297700,55100,50400
10/1/2005,76600,99900,60900,106900,609300,160700,3687200,760400,1290700,57500,50500
11/1/2005,75400,100200,61400,107900,613000,162100,3694800,764800,1301700,57800,50600
12/1/2005,73500,100700,61400,107900,613200,162400,3699300,765100,1310900,57400,50500
1/1/2006,71300,99600,61900,105200,602700,159600,3713300,748000,1285300,56300,49900
2/1/2006,74900,100400,62600,105800,602900,159800,3717800,750200,1285000,56700,50200
3/1/2006,75400,100800,62800,106800,610200,161200,3727500,759200,1294900,57200,50500
4/1/2006,76300,103700,63100,107400,611900,161500,3724800,765900,1299900,57900,50700
5/1/2006,75000,103800,63500,106800,617600,162300,3730600,770700,1311000,58500,50700
6/1/2006,73300,103900,64000,107500,619600,164900,3736800,780700,1326200,59000,51000
7/1/2006,71900,101600,65000,106300,616500,162200,3737800,773900,1313700,58100,50300
8/1/2006,71200,100900,64500,106500,614800,162000,3740400,775000,1311700,58300,50400
9/1/2006,73900,104700,64600,108600,613700,163000,3736600,768100,1315600,58600,50700
10/1/2006,76200,104300,64900,108800,621400,163300,3737700,768800,1316800,58700,50900
11/1/2006,75500,105400,64500,109100,625300,164500,3741900,773100,1323200,59000,51200
12/1/2006,76400,105300,64700,109000,626500,164900,3748000,775000,1332600,58800,51100
1/1/2007,72300,102900,64100,106500,614200,161500,3762700,758100,1305600,57600,50300
2/1/2007,74700,104300,63800,106900,617500,160900,3761800,759500,1302300,57300,50400
3/1/2007,75000,105900,63800,107700,619200,162700,3767800,767600,1311300,57800,50900
4/1/2007,75300,106600,63800,108100,620300,162800,3766200,773000,1320100,58300,51100
5/1/2007,73400,106900,63700,108500,625600,164000,3766200,778600,1329700,58700,51300
6/1/2007,72800,106100,64500,108500,631600,165500,3770900,786700,1343900,59200,51600
7/1/2007,71700,104800,63200,107600,622400,163100,3773000,788400,1330000,58000,51000
8/1/2007,71700,104100,63400,107800,622600,163000,3767000,787200,1326100,58100,51100
9/1/2007,74500,106700,63600,109300,622900,163300,3771000,782100,1327800,58500,51600
10/1/2007,75900,107300,63600,109300,624400,163700,3771400,772800,1329700,57700,51300
11/1/2007,75400,107800,63700,110100,625500,164400,3776100,776400,1337300,57800,51600
12/1/2007,76200,107800,63600,110300,626800,164400,3777000,775600,1342800,57800,51500
1/1/2008,72500,103700,63800,108200,615900,161100,3786500,754000,1314300,56200,50800
2/1/2008,72900,106400,63600,108500,616900,161100,3787700,757300,1314000,55900,50900
3/1/2008,73300,107100,63500,108900,619300,162000,3784200,763700,1320700,56100,51000
4/1/2008,76700,107200,63100,109200,622800,161900,3788700,767500,1328000,56400,51500
5/1/2008,74200,107300,62700,109200,622500,163300,3784000,774300,1336000,56900,51700
6/1/2008,74400,106400,63000,109800,626000,164200,3780200,781800,1344900,57200,51700
7/1/2008,71900,104300,63000,109100,618400,161100,3778000,777800,1335200,56800,50800
8/1/2008,73000,103300,63000,108900,617500,161900,3777200,777800,1330200,56700,50900
9/1/2008,76500,106000,63300,110300,618500,162900,3766600,769500,1329500,56400,51100
10/1/2008,77200,106800,62700,110500,622300,162700,3758000,763500,1329900,56900,50500
11/1/2008,75900,106800,62600,110900,620900,162600,3743900,761100,1329700,56500,50500
12/1/2008,76000,106300,62700,110100,618500,162100,3733100,757600,1331100,55700,50100
1/1/2009,70700,102900,62200,105900,603000,157100,3706300,737500,1298100,54000,48600
2/1/2009,73500,103500,61700,104300,598500,156100,3687000,736300,1294400,53800,48400
3/1/2009,72900,104800,61700,104500,598700,155700,3670400,739400,1296500,53800,48100
4/1/2009,74200,104100,61600,104600,598900,155500,3649700,742600,1300100,53800,48500
5/1/2009,72300,104800,61400,104700,600100,156700,3657400,747900,1308600,54200,48600
6/1/2009,70100,103700,61200,104400,601400,157700,3652200,753100,1318300,54200,48700
