"Date","Blacksburg-Christiansburg-Radford, VA MSA","Charlottesville, VA MSA","Harrisonburg, VA MSA","Lynchburg, VA MSA","Richmond, VA MSA","Roanoke, VA MSA","Virginia","Virginia Beach-Norfolk-Newport News, VA-NC MSA","Winchester, VA-WV MSA","Washington-Arlington-Alexandria, DC-VA-MD-WV MSA, VA part"
"01/01/2005","73400","98100","60600","104500","601600","157700","3630300","755500","54800","2911100"
"02/01/2005","73800","98100","60700","104600","602900","158300","3640700","756300","55100","2915300"
"03/01/2005","73000","97700","60600","104700","602200","158000","3638300","757400","54900","2916000"
"04/01/2005","73400","98700","60700","104800","606600","158400","3650500","760400","55200","2923000"
"05/01/2005","75000","98600","60700","104800","606800","158400","3656600","761400","55300","2927200"
"06/01/2005","73700","99200","60400","104700","606700","158300","3658300","762300","55200","2925000"
"07/01/2005","74200","99400","60900","104700","605900","159500","3673800","764000","53600","2940700"
"08/01/2005","74500","99600","61100","105100","606100","160000","3681300","765900","53500","2945700"
"09/01/2005","74700","101200","61100","105600","609300","160500","3698400","767300","54800","2951200"
"10/01/2005","74600","99600","60900","105800","607800","160200","3687200","758100","57200","2946100"
"11/01/2005","74400","99600","61400","106200","609300","160700","3694800","760800","57300","2959300"
"12/01/2005","73300","100000","61400","106300","609400","161100","3699300","761600","57200","2963100"
"01/01/2006","73900","101200","61900","106400","610500","161800","3713300","765300","57300","2971400"
"02/01/2006","74500","101100","62600","106700","609500","162100","3717800","765400","57800","2975600"
"03/01/2006","74800","100500","62800","107200","612600","162300","3727500","767200","57900","2985100"
"04/01/2006","74600","102400","63100","107400","611700","162200","3724800","768200","58000","2980300"
"05/01/2006","75700","102500","63500","107100","614100","161700","3730600","767100","58100","2981000"
"06/01/2006","74400","103000","64000","107500","612300","163000","3736800","768300","58100","2985500"
"07/01/2006","74000","103000","65000","107500","617500","162800","3737800","767500","58100","2983800"
"08/01/2006","72600","103300","64500","107700","619700","162500","3740400","767300","58200","2988400"
"09/01/2006","73200","104300","64600","107800","614800","162600","3736600","764400","58300","2991200"
"10/01/2006","74200","103900","64900","107700","619400","162800","3737700","766600","58400","2991200"
"11/01/2006","74200","104600","64500","107400","620600","162900","3741900","768900","58500","2993900"
"12/01/2006","75200","104500","64700","107300","621300","163100","3748000","771400","58500","3000700"
