"Date","Blacksburg","Charlottesville","Harrisonburg","Lynchburg","Richmond","Roanoke","Staunton-Waynesboro","VB-Norfolk","Washington-Alexandria","Winchester","VA"
"01/01/2005","169.47","193.59","163.82","151.35","173.53","157.84","160.82","195.01","227.55","210.74","198.55162105"
"04/01/2005","175.1","206.02","169.43","154.61","181.49","162.5","173.59","209.04","244.55","223.73","209.875779599"
"07/01/2005","179.57","213.4","180.14","159.57","189.68","167.36","179.5","220.26","257.73","238.1","219.8288748"
"10/01/2005","182.73","221.41","186.46","163.6","195.63","170.2","187.6","228.8","269.1","245.78","225.962579248"
"01/01/2006","181.05","225.53","191.24","166.64","201.45","174.31","195.55","236.28","274.18","252.48","231.189113963"
"04/01/2006","189.27","231.94","194.95","170.91","207.55","178.83","198.31","242.87","278.56","258.67","235.410545848"
"07/01/2006","194.74","235.57","200.78","176.59","210.59","182.45","203.19","246.67","279.95","253.59","236.92077728"
"10/01/2006","196.84","237.41","203.63","180.26","214.25","185","204.02","250.74","281.85","257.11","240.235039431"
"01/01/2007","194.85","240.01","203.1","183.55","216.67","188.15","208.89","252.32","279.57","252.42","241.131900418"
"04/01/2007","197.5","241.06","205.6","185.37","219.81","190.95","207.73","254.4","277.65","248.83","241.693727127"
"07/01/2007","197.42","240.45","202.91","185.08","218.64","189.49","207.07","253.74","271.71","240.97","238.802123602"
"10/01/2007","200.6","243.77","206.57","188.37","219.64","190.59","210.52","253.96","265.26","235.31","238.121746302"
"01/01/2008","201.88","241.38","206","188.63","219.46","193.7","208.98","253.03","257.87","235.62","236.905314159"
"04/01/2008","199.08","236.03","206.67","188.36","216.25","191.86","207.62","248.4","241.96","218.73","230.29740735"
"07/01/2008","200.76","231.7","199.56","185.48","212.74","189.88","205.88","244.86","229.69","205.86","223.98329983"
"10/01/2008","200.35","232.02","202.7","186.8","211.62","191.63","204.64","242.65","225.56","196.7","222.210195351"
"01/01/2009","202.59","231.01","202.34","187.94","210.49","193.51","205.59","241.93","225.66","201.26","223.101901964"
"04/01/2009","200.09","225.24","198.84","187.25","205.05","192.51","200.48","236.58","218.15","193.66","217.46301737"
"07/01/2009","195.19","221.74","194.23","183.11","199.46","188.28","196.8","231.19","213.3","187.32","212.437503221"
"10/01/2009","194.25","215.75","193.75","183.41","197.74","187.51","197.57","228.51","214.07","175.07","210.886036802"
"01/01/2010","189.47","216.72","188.77","180.38","194.48","184.08","191","225.82","211.85","174.17","208.009896397"
"04/01/2010","185.89","213.2","185.57","179.3","190.88","178.79","190.93","223.16","212.22","174.36","206.74192052"
"07/01/2010","191.56","217.51","186.68","180.45","191.57","183","190.83","225.43","214.8","174.07","208.88613989"
"10/01/2010","193.05","214.24","186.59","180.24","190.49","183.34","188.51","222.56","214.19","172.15","207.721251482"
"01/01/2011","190.18","211.23","180.08","176.57","184.21","178.36","184.16","216.1","209.71","170.22","202.907066646"
"04/01/2011","185.58","205.03","178.97","173.74","180.27","174.67","180.72","210.42","209.31","168.12","200.649451059"
"07/01/2011","185.13","205.82","182.16","173.91","179.29","174.76","181.77","209.56","212.08","170.5","202.242152466"
"10/01/2011","184.32","209.98","183.08","174.63","180.03","176.04","181.47","210.93","213.99","170.6","203.644142055"
"01/01/2012","184.11","207.45","179.43","174.37","178.22","172.66","177.37","207.57","212.75","167.23","201.453533323"
"04/01/2012","185.28","203.6","177.37","172.24","176.25","170.38","180.67","205.34","212.24","168.21","200.11855059"
"07/01/2012","181.76","204.44","178.58","175.12","178.25","173.22","180.51","207.61","215.38","167.42","202.685428586"
"10/01/2012","186.34","205.47","180.22","174.46","178.82","173.11","180.62","208.01","216.93","171.76","203.535900211"
"01/01/2013","185.27","205.35","178.5","172.99","178.1","171.7","181.31","206.97","218.72","173.19","203.26787279"
"04/01/2013","190.1","207.7","178.49","175.64","179.58","171.54","180.82","207.65","223.3","174.72","205.51517963"
"07/01/2013","188.25","206.55","180.52","174.77","181.37","172.28","180.71","206.51","227.17","181.16","205.912066388"
"10/01/2013","184.95","207.61","177.77","175.88","181.77","169.96","175.59","205.36","229.17","178.09","206.051234472"
"01/01/2014","185.91","207.95","181.54","175.23","182.74","171.38","178.35","207.77","231.07","183.29","207.185196639"
"04/01/2014","189.77","207.2","179.65","176.17","187.84","174.11","183.59","209.12","236.05","187.64","210.746868718"
"07/01/2014","186.03","216.66","184.42","173.22","187.74","174.17","187.35","211.32","237.74","189.38","211.855059018"
"10/01/2014","191.07","213.22","181.32","176.24","188.74","176.11","184.44","214.58","241.24","186.21","213.870419051"
"01/01/2015","188.15","215.34","185.41","177.24","189.75","178.02","183.85","215.02","241.88","192.59","214.643575073"
"04/01/2015","195.23","221.17","189.63","177.58","193.84","177.1","186.61","215.35","245.2","189.32","216.736250709"
"07/01/2015","189.45","219.27","185.26","179.88","194.49","176.34","185.82","215.42","248.23","191.01","217.627957322"
"10/01/2015","197","220.03","193.87","182.82","198.03","176.82","183.01","219.09","250.06","190.75","219.390753054"
"01/01/2016","198.48","220.78","188.08","181.24","196.55","176.62","182.88","215.32","251.3","194.78","219.004175043"
"04/01/2016","198.58","228.57","193.04","183.69","201.16","178.98","191.05","220.67","255.4","196.56","223.246224421"
"07/01/2016","197.83","224.59","192.69","182.94","204.78","182.78","193.45","223.89","257.26","200.4","225.143033864"
"10/01/2016","197.96","228.05","190.09","183.76","206.69","184.43","196.96","223.12","260.33","208.58","226.529560332"
"01/01/2017","194.91","227.32","188.66","184.68","209.48","184.56","193.53","221.72","260.01","193.75","225.369826298"
