"Year","Blacksburg","Charlottesville","Harrisonburg","Lynchburg","Richmond","Roanoke","Staunton","VirginiaBeach","Washington","Winchester","Virginia"
"2001","5096","7657","5885","7844","58476","12232","4293","67484","332751","4238","346918"
"2002","5026","7935","5440","7621","57282","12217","4106","69553","341506","4219","349495"
"2003","5265","8253","5594","7854","57447","12451","4227","72590","354862","4490","362386"
"2004","5314","8693","5587","8047","57311","12644","4362","74729","373708","4666","376770"
"2005","5586","9169","5809","8294","60938","13011","4588","77752","391015","5022","396319"
"2006","5786","9426","6072","8597","61445","13366","4557","80192","398785","5138","405682"
"2007","6025","9484","6361","8581","61722","13545","4376","81507","405117","4982","408148"
"2008","5591","9602","6066","8490","61725","13475","4394","81269","413662","4790","407227"
"2009","5417","9584","6619","8452","61122","13234","4419","81796","413750","4911","407302"
"2010","5496","9947","6840","8609","61984","13023","4464","81666","427377","5108","416903"
"2011","5659","10267","6778","8461","61945","12891","4393","82201","434027","5193","419724"
"2012","6082","10543","6742","8335","62508","12816","4342","82885","435099","5255","422269"
"2013","5852","10605","6649","8274","62997","12798","4431","83113","432722","5299","422275"
"2014","5946","10917","6663","8339","63387","12844","4495","82506","436894","5375","422546"
"2015","5888","10889","6489","8286","65850","12947","4401","85564","442433","5252","432742"
"2016","0","0","0","0","0","0","0","0","0","0","435192"
