Date,"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)","Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)","Charlottesville, VA (Metropolitan Statistical Area)","Harrisonburg, VA (Metropolitan Statistical Area)","Lynchburg, VA (Metropolitan Statistical Area)","Richmond, VA (Metropolitan Statistical Area)","Roanoke, VA (Metropolitan Statistical Area)","Staunton-Waynesboro, VA (Metropolitan Statistical Area)","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","Winchester, VA-WV (Metropolitan Statistical Area)"
2001,67484,5096,7657,5885,7844,58476,12232,4293,332751,4238
2002,69553,5026,7935,5440,7621,57282,12217,4106,341506,4219
2003,72590,5265,8253,5594,7854,57447,12451,4227,354862,4490
2004,74729,5314,8693,5587,8047,57311,12644,4362,373708,4666
2005,77752,5586,9169,5809,8294,60938,13011,4588,391015,5022
2006,80192,5786,9426,6072,8597,61445,13366,4557,398785,5138
2007,81507,6025,9484,6361,8581,61722,13545,4376,405117,4982
2008,81269,5591,9602,6066,8490,61725,13475,4394,413662,4790
2009,81796,5417,9584,6619,8452,61122,13234,4419,413750,4911
2010,81666,5496,9947,6840,8609,61984,13023,4464,427377,5108
2011,82201,5659,10267,6778,8461,61945,12891,4393,434027,5193
2012,82885,6082,10543,6742,8335,62508,12816,4342,435099,5255
2013,83113,5852,10605,6649,8274,62997,12798,4431,432722,5299
2014,82506,5946,10917,6663,8339,63387,12844,4495,436894,5375
2015,85564,5888,10889,6489,8286,65850,12947,4401,442433,5252
