"Date","Blacksburg","Charlottesville","Hampton Roads","Harrisonburg","Lynchburg","Richmond","Roanoke","Staunton","Wash DC","Winchestor","Virginia"
"2005 Q1","590","686","634","559","604","809","612","603","1045","630","795"
"2005 Q2","593","682","648","566","596","752","620","583","1037","651","787"
"2005 Q1","651","744","676","602","611","778","632","599","1066","688","815"
"2005 Q4","642","759","709","608","650","836","672","610","1118","688","855"
"2006 Q1","650","756","680","600","642","853","637","596","1154","682","862"
"2006 Q2","644","707","685","589","621","779","641","589","1081","665","822"
"2006 Q1","653","752","677","601","616","780","631","613","1062","692","815"
"2006 Q4","671","789","739","632","675","852","698","636","1160","700","887"
"2007 Q1","650","781","718","623","667","912","671","612","1194","702","901"
"2007 Q2","689","712","711","600","640","821","675","610","1129","690","859"
"2007 Q1","681","819","716","635","636","817","653","615","1117","716","857"
"2007 Q4","691","830","764","658","701","875","722","650","1214","725","922"
"2008 Q1","674","804","733","647","676","927","684","627","1210","722","918"
"2008 Q2","658","739","731","633","660","833","692","625","1168","707","885"
"2008 Q1","687","819","722","664","651","830","679","634","1144","726","877"
"2008 Q4","695","854","796","687","722","890","749","666","1255","757","954"
"2009 Q1","660","809","747","649","673","891","694","619","1214","720","920"
"2009 Q2","648","749","746","665","666","829","705","631","1184","728","899"
"2009 Q1","695","831","736","666","659","830","691","640","1176","754","896"
"2009 Q4","717","896","824","698","733","907","768","686","1319","797","995"
"2010 Q1","654","799","739","643","683","896","689","615","1240","727","932"
"2010 Q2","666","782","766","655","689","849","711","648","1225","744","929"
"2010 Q1","712","827","756","684","696","851","708","674","1221","783","930"
"2010 Q4","741","928","838","716","738","932","779","696","1368","824","1029"
"2011 Q1","687","825","769","661","712","942","709","648","1276","747","968"
"2011 Q2","674","802","786","652","690","862","731","651","1252","773","949"
"2011 Q1","750","881","799","717","716","888","751","689","1276","784","975"
"2011 Q4","725","890","816","694","728","910","755","688","1335","810","1005"
"2012 Q1","722","878","815","698","743","969","760","0","1346","752","1019"
"2012 Q2","687","821","781","677","693","868","719","0","1264","774","952"
"2012 Q3","760","867","792","712","710","878","747","0","1258","756","960"
"2012 Q4","754","923","862","724","743","934","790","0","1387","822","1042"
"2013 Q1","708","876","828","710","760","973","772","686","1341","777","1027"
"2013 Q2","691","831","791","690","703","885","735","679","1283","787","968"
"2013 Q3","754","875","806","720","723","887","758","712","1271","769","970"
"2013 Q4","751","952","836","721","753","938","795","729","1348","812","1028"
"2014 Q1","740","899","849","714","768","1009","782","711","1385","796","1050"
"2014 Q2","720","853","806","698","722","894","744","698","1282","793","976"
"2014 Q3","780","896","824","728","736","905","770","722","1306","780","989"
"2014 Q4","773","984","876","750","793","961","815","751","1386","838","1057"
"2015 Q1","744","928","871","732","750","1016","791","702","1424","789","1070"
"2015 Q2","727","871","824","716","723","916","761","711","1314","808","999"
"2015 Q3","783","968","852","750","755","931","794","743","1331","813","1012"
"2015 Q4","795","1020","912","786","814","994","869","787","1436","874","1094"
"2016 Q1","731","916","852","728","754","988","778","713","1417","816","1056"
"2016 Q2","742","895","832","738","746","934","775","745","1326","818","1010"
"2016 Q3","816","1000","886","780","785","977","828","770","1397","872","1063"
"2016 Q4","795","999","915","762","816","990","886","774","1401","858","1091"
