"date","Nsa_value","Ssa_value"
"01/01/2005","2863.7","2908.8"
"02/01/2005","2877.3","2914.3"
"03/01/2005","2895.9","2915.1"
"04/01/2005","2919","2922.8"
"05/01/2005","2937.6","2927.1"
"06/01/2005","2955","2923.7"
"07/01/2005","2952.9","2938.8"
"08/01/2005","2946.7","2944.3"
"09/01/2005","2954.4","2951.4"
"10/01/2005","2954.1","2945.9"
"11/01/2005","2975.7","2959.4"
"12/01/2005","2987.8","2964.1"
"01/01/2006","2927.1","2971.4"
"02/01/2006","2939.6","2977.1"
"03/01/2006","2967.5","2986.9"
"04/01/2006","2974.4","2981.9"
"05/01/2006","2992.5","2982.4"
"06/01/2006","3015.8","2985.6"
"07/01/2006","2998.6","2984"
"08/01/2006","2991.6","2988.9"
"09/01/2006","2994.6","2992.8"
"10/01/2006","3001.5","2992.8"
"11/01/2006","3013.4","2995.7"
"12/01/2006","3027.8","3002.6"
"01/01/2007","2961.7","3006.2"
"02/01/2007","2969.2","3007.7"
"03/01/2007","2993.8","3013.7"
"04/01/2007","2999.9","3006.8"
"05/01/2007","3018.4","3007.3"
"06/01/2007","3033.8","3005"
"07/01/2007","3022","3005.8"
"08/01/2007","3011.7","3006.6"
"09/01/2007","3009.7","3010.3"
"10/01/2007","3027.7","3018.3"
"11/01/2007","3040.6","3022.2"
"12/01/2007","3051.4","3026.9"
"01/01/2008","2979.6","3025.6"
"02/01/2008","2989.9","3029.9"
"03/01/2008","3008.6","3029.5"
"04/01/2008","3027.9","3034.3"
"05/01/2008","3044.6","3032.8"
"06/01/2008","3050.6","3027.6"
"07/01/2008","3048.1","3029.6"
"08/01/2008","3036.5","3032"
"09/01/2008","3026.8","3028"
"10/01/2008","3029.1","3019.7"
"11/01/2008","3030.2","3012.1"
"12/01/2008","3028.8","3005.7"
"01/01/2009","2958.1","3001.3"
"02/01/2009","2957.7","2998.5"
"03/01/2009","2966.8","2987.7"
"04/01/2009","2967.2","2967.5"
"05/01/2009","2982.4","2968.7"
"06/01/2009","2992","2968.8"
"07/01/2009","2988.7","2967.3"
"08/01/2009","2969.4","2969.7"
"09/01/2009","2955.4","2957.2"
"10/01/2009","2976.7","2967.2"
"11/01/2009","2989.5","2971.1"
"12/01/2009","2991.9","2970.2"
"01/01/2010","2920.5","2963.8"
"02/01/2010","2898.7","2938.4"
"03/01/2010","2945.4","2965.6"
"04/01/2010","2982.8","2981.3"
