"date","Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area","Charlottesville, VA Metropolitan Statistical Area","Harrisonburg, VA Metropolitan Statistical Area","Lynchburg, VA Metropolitan Statistical Area","Richmond, VA Metropolitan Statistical Area","Roanoke, VA Metropolitan Statistical Area","Staunton-Waynesboro, VA Metropolitan Statistical Area","Virginia","Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area","Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","Winchester, VA-WV Metropolitan Statistical Area"
"01/01/2005","1001508","1778063","1199576","1620740","10934079","2846692","795456","68337997","12949352","26832476","1310409"
"02/01/2005","1059452","1816030","1134161","1664775","11427509","2842725","834159","69504414","13420127","27028050","1368307"
"03/01/2005","1166520","2061918","1291996","2020092","12887472","3287100","976384","80009951","15377419","31363776","1548400"
"04/01/2005","1224008","1995117","1265002","1849210","12844984","3447503","1015175","80498695","15628412","31615236","1622746"
"05/01/2005","1183818","2040573","1321553","1854760","12949241","3424562","1046160","80601558","15728377","31357023","1624391"
"06/01/2005","1226300","2169800","1386532","2028711","13610122","3690934","1072166","86524212","16871298","34040215","1746756"
"07/01/2005","1226347","2047903","1272620","1875278","12254916","3396535","969147","80948410","16064417","31689967","1858588"
"08/01/2005","1249729","2041714","1348885","1876123","11976663","3338220","980811","78053176","16115307","29578298","1572684"
"09/01/2005","1246387","2128954","1375245","1902905","13303917","3407670","1019610","82400656","15793938","32324469","1573052"
"10/01/2005","1199018","2683205","1243768","2037690","13501238","3248977","1250306","85406448","15312671","35731302","1689607"
"11/01/2005","1229008","2073994","1378652","1917031","12880065","3419517","1031633","80718638","15136888","32022897","1658666"
"12/01/2005","1454155","2682506","1590380","2563352","16227317","4284570","1229226","103919422","19563363","42556079","2422310"
"01/01/2006","1044759","1545238","1197057","1751621","12004003","2964671","896413","71820882","13292261","28430194","1462724"
"02/01/2006","1150050","1928623","1198155","1807081","12104404","3140958","906646","73945439","14432391","28473709","1411768"
"03/01/2006","1342618","2193501","1402877","2160098","14508906","3621134","1074817","86765929","16763656","33358167","1750074"
"04/01/2006","1694514","2153542","1454237","2083354","13787763","3578123","1049359","85856905","16315776","33684560","1686326"
"05/01/2006","1236752","2259007","1392888","2283024","14161195","3630802","1099269","86381550","16545131","33662211","1765450"
"06/01/2006","1349054","2330035","1478586","2255773","15112537","3684221","1178376","91852412","18044624","35212608","1796916"
"07/01/2006","1216689","2127572","1350819","2171478","13000398","3519214","1034091","82843535","16791722","31703912","1632984"
"08/01/2006","1390435","2249751","1480374","2178238","13754291","3670189","1056980","86815410","17123459","33352935","1803669"
"09/01/2006","1333361","2310748","1407954","2235020","13838166","3575039","1068106","86210769","16607565","33507340","1649173"
"10/01/2006","1298700","2226207","1405154","2136116","13675581","3734709","1070962","84946007","16468899","32899171","1630696"
"11/01/2006","1263541","2248713","1397122","2147762","13868403","3716798","1056559","85566875","16380357","33233997","1735031"
"12/01/2006","1640404","2728203","1629122","2715349","16959361","4539344","1291911","105538361","19815476","42199215","2131593"
"01/01/2007","1190728","2013708","1237406","1887287","13006514","3272567","947072","77137072","14598396","29873812","1469265"
"02/01/2007","1237124","2000134","1204985","1945517","13521738","3163851","921939","78071952","15993473","29065915","1361719"
"03/01/2007","1315854","2341978","1421614","2268721","14872647","3784501","1149927","88954561","17396418","34104269","1617635"
"04/01/2007","1368903","2127740","1367135","2075383","13972381","3587514","1092535","85856927","16340002","33403125","1635538"
"05/01/2007","1335348","2388285","1393741","2216089","14668801","3776332","1121900","90452834","17117531","35896900","1652854"
"06/01/2007","1469355","2336312","1496060","2338713","15332632","3881494","1158135","92985333","18680364","34882790","1799328"
"07/01/2007","1236398","2263543","1410864","2051261","13583076","3512431","1083309","86382482","17770654","33271295","1624290"
"08/01/2007","1416802","2275591","1516943","2230003","14653901","3631009","1119949","88491580","17715526","32914687","1704352"
"09/01/2007","1494198","2275159","1389338","2194412","13934319","3636871","1125730","85574021","16698975","32415990","1591062"
"10/01/2007","1355938","2280115","1414923","2124307","14448676","3519889","1161862","90277091","16647239","36739517","1650213"
"11/01/2007","1350867","2193534","1420371","2175546","14914033","3561049","1150551","86866150","16621942","33166975","1585084"
"12/01/2007","1627003","2649957","1611047","2832511","17646136","4424428","1379495","105716675","19667607","41477701","1912576"
"01/01/2008","1163873","2011740","1321769","1983584","12593460","3174810","943696","75993755","14123433","29557930","1379648"
"02/01/2008","1219269","2075303","1240469","2142449","13096492","3269195","962235","76916885","15011955","28716234","1394056"
