"date","Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area","Charlottesville, VA Metropolitan Statistical Area","Harrisonburg, VA Metropolitan Statistical Area","Lynchburg, VA Metropolitan Statistical Area","Richmond, VA Metropolitan Statistical Area","Roanoke, VA Metropolitan Statistical Area","Staunton-Waynesboro, VA Metropolitan Statistical Area","Virginia","Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area, VA part","Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area, VA part","Winchester, VA-WV Metropolitan Statistical Area, VA part"
"03/01/2007","254","194","219","377","1735","430","211","12116","2666","2398","166"
"04/01/2007","285","185","130","382","1749","526","151","11884","2477","2252","124"
"05/01/2007","292","264","146","396","1719","393","210","11968","2701","2191","121"
"06/01/2007","204","193","100","374","1902","401","149","11587","2573","2167","130"
"07/01/2007","303","212","170","365","2109","518","290","14640","3076","2569","224"
"08/01/2007","503","211","123","372","1956","442","109","13117","2872","2632","140"
"09/01/2007","145","171","102","316","1751","421","160","11046","2337","2385","154"
"10/01/2007","228","233","186","389","2245","522","230","14533","3059","2938","175"
"11/01/2007","316","360","160","499","2118","576","218","14840","2834","2695","302"
"12/01/2007","266","298","208","432","1947","548","351","14484","2732","2568","242"
"01/01/2008","498","355","258","665","3150","1194","389","23685","4602","4169","384"
"02/01/2008","338","264","231","546","2548","653","320","16675","3429","3399","334"
"03/01/2008","878","253","201","489","2348","511","257","16007","3128","3168","236"
"04/01/2008","264","206","225","436","2540","641","197","15966","3160","3294","190"
"05/01/2008","568","293","208","477","2407","486","182","15362","2956","2829","204"
"06/01/2008","367","291","188","559","2544","685","257","16520","3462","3010","214"
"07/01/2008","885","475","267","797","3953","947","334","26215","5389","4819","359"
"08/01/2008","535","419","255","777","4046","824","315","26827","5357","5030","392"
"09/01/2008","412","374","239","657","3350","1274","362","23484","4591","4249","316"
"10/01/2008","510","603","316","737","4197","978","518","28629","5800","5466","441"
"11/01/2008","673","543","409","1026","4353","1042","512","29108","5286","5618","584"
"12/01/2008","1431","834","654","1494","6028","1960","1038","46211","8016","7539","973"
"01/01/2009","1498","939","686","1894","7680","2639","824","49535","8434","9088","770"
